sample_index,event,episode_time_seconds,current_stop_id,target_stop_id,x,y,z,cumulative_distance_meters,speed_mps,blocked,block_reason
1,episode_start,0,1,,-31.947,0.503,-203.384,0,0,0,
2,sample,0,1,,-31.947,0.504,-203.384,0,0.057,0,
3,matrix_arrival,80.729,1,2,-157.334,0.503,-104.356,1210.936,0,0,
4,stop_arrival,80.729,2,2,-157.334,0.503,-104.356,1210.936,0,0,
5,sample,80.729,2,2,-157.334,0.514,-104.356,1210.936,0.146,0,
6,matrix_arrival,142.862,2,1,-31.947,0.503,-203.384,2142.934,0,0,
7,stop_arrival,142.862,1,1,-31.947,0.503,-203.384,2142.934,0,0,
8,sample,142.862,1,1,-31.947,0.503,-203.384,2142.934,0,0,
9,matrix_arrival,161.243,1,3,-157.381,0.503,126.579,2418.651,0,0,
10,stop_arrival,161.243,3,3,-157.381,0.503,126.579,2418.651,0,0,
11,sample,161.243,3,3,-157.381,0.503,126.579,2418.651,0,0,
12,matrix_arrival,184.873,3,4,-157.512,0.503,480.008,2773.089,0,0,
13,stop_arrival,184.873,4,4,-157.512,0.503,480.008,2773.089,0,0,
14,sample,184.873,4,4,-157.512,0.503,480.008,2773.089,0,0,
15,matrix_arrival,263.084,4,8,157.326,0.503,-120.454,3946.263,0,0,
16,stop_arrival,263.084,8,8,157.326,0.503,-120.454,3946.263,0,0,
17,sample,263.084,8,8,157.326,0.503,-120.454,3946.263,0,0,
18,matrix_arrival,342.718,8,1,-31.947,0.503,-203.384,5140.772,0,0,
19,stop_arrival,342.718,1,1,-31.947,0.503,-203.384,5140.772,0,0,
20,sample,342.718,1,1,-31.947,0.503,-203.384,5140.772,0,0,
21,matrix_arrival,423.447,1,2,-157.334,0.503,-104.356,6351.708,0,0,
22,stop_arrival,423.447,2,2,-157.334,0.503,-104.356,6351.708,0,0,
23,sample,423.447,2,2,-157.334,0.503,-104.356,6351.708,0,0,
24,matrix_arrival,485.58,2,1,-31.947,0.503,-203.384,7283.707,0,0,
25,stop_arrival,485.58,1,1,-31.947,0.503,-203.384,7283.707,0,0,
26,sample,485.58,1,1,-31.947,0.503,-203.384,7283.707,0,0,
27,matrix_arrival,503.962,1,3,-157.381,0.503,126.579,7559.423,0,0,
28,stop_arrival,503.962,3,3,-157.381,0.503,126.579,7559.423,0,0,
29,sample,503.962,3,3,-157.381,0.503,126.579,7559.423,0,0,
30,matrix_arrival,551.782,3,5,84.56,0.503,622.278,8276.737,0,0,
31,stop_arrival,551.782,5,5,84.56,0.503,622.278,8276.737,0,0,
32,sample,551.782,5,5,84.56,0.503,622.278,8276.737,0,0,
33,matrix_arrival,625.594,5,3,-157.381,0.503,126.579,9383.912,0,0,
34,stop_arrival,625.594,3,3,-157.381,0.503,126.579,9383.912,0,0,
35,sample,625.594,3,3,-157.381,0.503,126.579,9383.912,0,0,
36,matrix_arrival,664.451,3,7,157.243,0.503,142.751,9966.759,0,0,
37,stop_arrival,664.451,7,7,157.243,0.503,142.751,9966.759,0,0,
38,sample,664.451,7,7,157.243,0.503,142.751,9966.759,0,0,
39,matrix_arrival,730.006,7,5,84.56,0.503,622.278,10950.08,0,0,
40,stop_arrival,730.006,5,5,84.56,0.503,622.278,10950.08,0,0,
41,sample,730.006,5,5,84.56,0.503,622.278,10950.08,0,0,
42,matrix_arrival,741.583,5,6,157.267,0.503,509.377,11123.75,0,0,
43,stop_arrival,741.583,6,6,157.267,0.503,509.377,11123.75,0,0,
44,sample,741.583,6,6,157.267,0.503,509.377,11123.75,0,0,
45,matrix_arrival,776.993,6,5,84.56,0.503,622.278,11654.9,0,0,
46,stop_arrival,776.993,5,5,84.56,0.503,622.278,11654.9,0,0,
47,sample,776.993,5,5,84.56,0.503,622.278,11654.9,0,0,
48,matrix_arrival,862.209,5,2,-157.334,0.503,-104.356,12933.14,0,0,
49,stop_arrival,862.209,2,2,-157.334,0.503,-104.356,12933.14,0,0,
50,sample,862.209,2,2,-157.334,0.503,-104.356,12933.14,0,0,
51,matrix_arrival,936.995,2,6,157.267,0.503,509.377,14054.92,0,0,
52,stop_arrival,936.995,6,6,157.267,0.503,509.377,14054.92,0,0,
53,sample,936.995,6,6,157.267,0.503,509.377,14054.92,0,0,
54,matrix_arrival,961.514,6,7,157.243,0.503,142.751,14422.71,0,0,
55,stop_arrival,961.514,7,7,157.243,0.503,142.751,14422.71,0,0,
56,sample,961.514,7,7,157.243,0.503,142.751,14422.71,0,0,
57,matrix_arrival,980.929,7,1,-31.947,0.503,-203.384,14713.93,0,0,
58,stop_arrival,980.929,1,1,-31.947,0.503,-203.384,14713.93,0,0,
59,sample,980.929,1,1,-31.947,0.503,-203.384,14713.93,0,0,
60,matrix_arrival,1061.658,1,2,-157.334,0.503,-104.356,15924.87,0,0,
61,stop_arrival,1061.658,2,2,-157.334,0.503,-104.356,15924.87,0,0,
62,sample,1061.658,2,2,-157.334,0.503,-104.356,15924.87,0,0,
63,matrix_arrival,1123.791,2,1,-31.947,0.503,-203.384,16856.87,0,0,
64,stop_arrival,1123.791,1,1,-31.947,0.503,-203.384,16856.87,0,0,
65,sample,1123.791,1,1,-31.947,0.503,-203.384,16856.87,0,0,
66,matrix_arrival,1189.993,1,5,84.56,0.503,622.278,17849.9,0,0,
67,stop_arrival,1189.993,5,5,84.56,0.503,622.278,17849.9,0,0,
68,sample,1189.993,5,5,84.56,0.503,622.278,17849.9,0,0,
69,matrix_arrival,1245.505,5,1,-31.947,0.503,-203.384,18682.57,0,0,
70,stop_arrival,1245.505,1,1,-31.947,0.503,-203.384,18682.57,0,0,
71,sample,1245.505,1,1,-31.947,0.503,-203.384,18682.57,0,0,
72,matrix_arrival,1311.707,1,5,84.56,0.503,622.278,19675.6,0,0,
73,stop_arrival,1311.707,5,5,84.56,0.503,622.278,19675.6,0,0,
74,sample,1311.707,5,5,84.56,0.503,622.278,19675.6,0,0,
75,matrix_arrival,1365.35,5,8,157.326,0.503,-120.454,20480.25,0,0,
76,stop_arrival,1365.35,8,8,157.326,0.503,-120.454,20480.25,0,0,
77,sample,1365.35,8,8,157.326,0.503,-120.454,20480.25,0,0,
78,matrix_arrival,1443.018,8,5,84.56,0.503,622.278,21645.27,0,0,
79,stop_arrival,1443.018,5,5,84.56,0.503,622.278,21645.27,0,0,
80,sample,1443.018,5,5,84.56,0.503,622.278,21645.27,0,0,
81,matrix_arrival,1516.83,5,3,-157.381,0.503,126.579,22752.44,0,0,
82,stop_arrival,1516.83,3,3,-157.381,0.503,126.579,22752.44,0,0,
83,sample,1516.83,3,3,-157.381,0.503,126.579,22752.44,0,0,
84,matrix_arrival,1564.651,3,5,84.56,0.503,622.278,23469.76,0,0,
85,stop_arrival,1564.651,5,5,84.56,0.503,622.278,23469.76,0,0,
86,sample,1564.651,5,5,84.56,0.503,622.278,23469.76,0,0,
87,matrix_arrival,1576.228,5,6,157.267,0.503,509.377,23643.42,0,0,
88,stop_arrival,1576.228,6,6,157.267,0.503,509.377,23643.42,0,0,
89,sample,1576.228,6,6,157.267,0.503,509.377,23643.42,0,0,
90,matrix_arrival,1620.162,6,1,-31.947,0.503,-203.384,24302.43,0,0,
91,stop_arrival,1620.162,1,1,-31.947,0.503,-203.384,24302.43,0,0,
92,sample,1620.162,1,1,-31.947,0.503,-203.384,24302.43,0,0,
93,matrix_arrival,1686.364,1,5,84.56,0.503,622.278,25295.46,0,0,
94,stop_arrival,1686.364,5,5,84.56,0.503,622.278,25295.46,0,0,
95,sample,1686.364,5,5,84.56,0.503,622.278,25295.46,0,0,
96,matrix_arrival,1729.647,5,4,-157.512,0.503,480.008,25944.7,0,0,
97,stop_arrival,1729.647,4,4,-157.512,0.503,480.008,25944.7,0,0,
98,sample,1729.647,4,4,-157.512,0.503,480.008,25944.7,0,0,
99,matrix_arrival,1790.311,4,7,157.243,0.503,142.751,26854.66,0,0,
100,stop_arrival,1790.311,7,7,157.243,0.503,142.751,26854.66,0,0,
101,sample,1790.311,7,7,157.243,0.503,142.751,26854.66,0,0,
102,matrix_arrival,1828.026,7,3,-157.381,0.503,126.579,27420.39,0,0,
103,stop_arrival,1828.026,3,3,-157.381,0.503,126.579,27420.39,0,0,
104,sample,1828.026,3,3,-157.381,0.503,126.579,27420.39,0,0,
105,matrix_arrival,1875.847,3,5,84.56,0.503,622.278,28137.71,0,0,
106,stop_arrival,1875.847,5,5,84.56,0.503,622.278,28137.71,0,0,
107,sample,1875.847,5,5,84.56,0.503,622.278,28137.71,0,0,
108,matrix_arrival,1961.063,5,2,-157.334,0.503,-104.356,29415.95,0,0,
109,stop_arrival,1961.063,2,2,-157.334,0.503,-104.356,29415.95,0,0,
110,sample,1961.063,2,2,-157.334,0.503,-104.356,29415.95,0,0,
111,matrix_arrival,2023.197,2,1,-31.947,0.503,-203.384,30347.95,0,0,
112,stop_arrival,2023.197,1,1,-31.947,0.503,-203.384,30347.95,0,0,
113,sample,2023.197,1,1,-31.947,0.503,-203.384,30347.95,0,0,
114,matrix_arrival,2089.398,1,5,84.56,0.503,622.278,31340.97,0,0,
115,stop_arrival,2089.398,5,5,84.56,0.503,622.278,31340.97,0,0,
116,sample,2089.398,5,5,84.56,0.503,622.278,31340.97,0,0,
117,matrix_arrival,2143.042,5,8,157.326,0.503,-120.454,32145.63,0,0,
118,stop_arrival,2143.042,8,8,157.326,0.503,-120.454,32145.63,0,0,
119,sample,2143.042,8,8,157.326,0.503,-120.454,32145.63,0,0,
120,matrix_arrival,2222.676,8,1,-31.947,0.503,-203.384,33340.14,0,0,
121,stop_arrival,2222.676,1,1,-31.947,0.503,-203.384,33340.14,0,0,
122,sample,2222.676,1,1,-31.947,0.503,-203.384,33340.14,0,0,
123,matrix_arrival,2241.057,1,3,-157.381,0.503,126.579,33615.85,0,0,
124,stop_arrival,2241.057,3,3,-157.381,0.503,126.579,33615.85,0,0,
125,sample,2241.057,3,3,-157.381,0.503,126.579,33615.85,0,0,
126,matrix_arrival,2288.878,3,5,84.56,0.503,622.278,34333.16,0,0,
127,stop_arrival,2288.878,5,5,84.56,0.503,622.278,34333.16,0,0,
128,sample,2288.878,5,5,84.56,0.503,622.278,34333.16,0,0,
129,matrix_arrival,2374.094,5,2,-157.334,0.503,-104.356,35611.41,0,0,
130,stop_arrival,2374.094,2,2,-157.334,0.503,-104.356,35611.41,0,0,
131,sample,2374.094,2,2,-157.334,0.503,-104.356,35611.41,0,0,
132,matrix_arrival,2408.845,2,8,157.326,0.503,-120.454,36132.67,0,0,
133,stop_arrival,2408.845,8,8,157.326,0.503,-120.454,36132.67,0,0,
134,sample,2408.845,8,8,157.326,0.503,-120.454,36132.67,0,0,
135,matrix_arrival,2488.479,8,1,-31.947,0.503,-203.384,37327.18,0,0,
136,stop_arrival,2488.479,1,1,-31.947,0.503,-203.384,37327.18,0,0,
137,sample,2488.479,1,1,-31.947,0.503,-203.384,37327.18,0,0,
138,matrix_arrival,2569.208,1,2,-157.334,0.503,-104.356,38538.12,0,0,
139,stop_arrival,2569.208,2,2,-157.334,0.503,-104.356,38538.12,0,0,
140,sample,2569.208,2,2,-157.334,0.503,-104.356,38538.12,0,0,
141,matrix_arrival,2584.613,2,3,-157.381,0.503,126.579,38769.2,0,0,
142,stop_arrival,2584.613,3,3,-157.381,0.503,126.579,38769.2,0,0,
143,sample,2584.613,3,3,-157.381,0.503,126.579,38769.2,0,0,
144,matrix_arrival,2642.885,3,1,-31.947,0.503,-203.384,39643.27,0,0,
145,stop_arrival,2642.885,1,1,-31.947,0.503,-203.384,39643.27,0,0,
146,sample,2642.885,1,1,-31.947,0.503,-203.384,39643.27,0,0,
147,matrix_arrival,2709.087,1,5,84.56,0.503,622.278,40636.3,0,0,
148,stop_arrival,2709.087,5,5,84.56,0.503,622.278,40636.3,0,0,
149,sample,2709.087,5,5,84.56,0.503,622.278,40636.3,0,0,
150,matrix_arrival,2794.303,5,2,-157.334,0.503,-104.356,41914.55,0,0,
151,stop_arrival,2794.303,2,2,-157.334,0.503,-104.356,41914.55,0,0,
152,sample,2794.303,2,2,-157.334,0.503,-104.356,41914.55,0,0,
153,matrix_arrival,2833.337,2,4,-157.512,0.503,480.008,42500.06,0,0,
154,stop_arrival,2833.337,4,4,-157.512,0.503,480.008,42500.06,0,0,
155,sample,2833.337,4,4,-157.512,0.503,480.008,42500.06,0,0,
156,matrix_arrival,2931.067,4,6,157.267,0.503,509.377,43966,0,0,
157,stop_arrival,2931.067,6,6,157.267,0.503,509.377,43966,0,0,
158,sample,2931.067,6,6,157.267,0.503,509.377,43966,0,0,
159,matrix_arrival,2975,6,1,-31.947,0.503,-203.384,44625.01,0,0,
160,stop_arrival,2975,1,1,-31.947,0.503,-203.384,44625.01,0,0,
161,sample,2975,1,1,-31.947,0.503,-203.384,44625.01,0,0,
162,matrix_arrival,3055.729,1,2,-157.334,0.503,-104.356,45835.95,0,0,
163,stop_arrival,3055.729,2,2,-157.334,0.503,-104.356,45835.95,0,0,
164,sample,3055.729,2,2,-157.334,0.503,-104.356,45835.95,0,0,
165,matrix_arrival,3071.135,2,3,-157.381,0.503,126.579,46067.03,0,0,
166,stop_arrival,3071.135,3,3,-157.381,0.503,126.579,46067.03,0,0,
167,sample,3071.135,3,3,-157.381,0.503,126.579,46067.03,0,0,
168,matrix_arrival,3127.582,3,8,157.326,0.503,-120.454,46913.73,0,0,
169,stop_arrival,3127.582,8,8,157.326,0.503,-120.454,46913.73,0,0,
170,sample,3127.582,8,8,157.326,0.503,-120.454,46913.73,0,0,
171,matrix_arrival,3205.25,8,5,84.56,0.503,622.278,48078.75,0,0,
172,stop_arrival,3205.25,5,5,84.56,0.503,622.278,48078.75,0,0,
173,sample,3205.25,5,5,84.56,0.503,622.278,48078.75,0,0,
174,matrix_arrival,3216.827,5,6,157.267,0.503,509.377,48252.41,0,0,
175,stop_arrival,3216.827,6,6,157.267,0.503,509.377,48252.41,0,0,
176,sample,3216.827,6,6,157.267,0.503,509.377,48252.41,0,0,
177,matrix_arrival,3248.532,6,4,-157.512,0.503,480.008,48727.99,0,0,
178,stop_arrival,3248.532,4,4,-157.512,0.503,480.008,48727.99,0,0,
179,sample,3248.532,4,4,-157.512,0.503,480.008,48727.99,0,0,
180,matrix_arrival,3326.532,4,3,-157.381,0.503,126.579,49897.98,0,0,
181,stop_arrival,3326.532,3,3,-157.381,0.503,126.579,49897.98,0,0,
182,sample,3326.532,3,3,-157.381,0.503,126.579,49897.98,0,0,
183,matrix_arrival,3382.979,3,8,157.326,0.503,-120.454,50744.69,0,0,
184,stop_arrival,3382.979,8,8,157.326,0.503,-120.454,50744.69,0,0,
185,sample,3382.979,8,8,157.326,0.503,-120.454,50744.69,0,0,
186,matrix_arrival,3462.613,8,1,-31.947,0.503,-203.384,51939.2,0,0,
187,stop_arrival,3462.613,1,1,-31.947,0.503,-203.384,51939.2,0,0,
188,sample,3462.613,1,1,-31.947,0.503,-203.384,51939.2,0,0,
189,matrix_arrival,3480.994,1,3,-157.381,0.503,126.579,52214.92,0,0,
190,stop_arrival,3480.994,3,3,-157.381,0.503,126.579,52214.92,0,0,
191,sample,3480.994,3,3,-157.381,0.503,126.579,52214.92,0,0,
192,matrix_arrival,3528.815,3,5,84.56,0.503,622.278,52932.23,0,0,
193,stop_arrival,3528.815,5,5,84.56,0.503,622.278,52932.23,0,0,
194,sample,3528.815,5,5,84.56,0.503,622.278,52932.23,0,0,
195,matrix_arrival,3564.911,5,7,157.243,0.503,142.751,53473.68,0,0,
196,stop_arrival,3564.911,7,7,157.243,0.503,142.751,53473.68,0,0,
197,sample,3564.911,7,7,157.243,0.503,142.751,53473.68,0,0,
198,matrix_arrival,3584.326,7,1,-31.947,0.503,-203.384,53764.9,0,0,
199,stop_arrival,3584.326,1,1,-31.947,0.503,-203.384,53764.9,0,0,
200,sample,3584.326,1,1,-31.947,0.503,-203.384,53764.9,0,0,
