leg_index,mode,from_stop_id,to_stop_id,arrived_stop_id,completed,departure_time_seconds,arrival_time_seconds,travel_time_seconds,leg_distance_meters,cumulative_distance_meters,planned_path_distance_meters,path_waypoint_count,boarded_count,dropped_off_count,waiting_count,on_board_count,completed_passenger_count
1,matrix_teleport,1,7,7,1,0,57.238,57.238,858.563,858.563,858.563,0,0,0,1,0,0
2,matrix_teleport,7,1,1,1,57.238,76.653,19.415,291.226,1149.789,291.226,0,0,0,2,0,0
3,matrix_teleport,1,8,8,1,76.653,151.481,74.828,1122.422,2272.211,1122.422,0,1,0,2,1,0
4,matrix_teleport,8,5,5,1,151.481,229.149,77.668,1165.018,3437.229,1165.018,0,0,0,2,1,0
5,matrix_teleport,5,3,3,1,229.149,302.96,73.812,1107.174,4544.403,1107.174,0,0,1,3,0,1
6,matrix_teleport,3,6,6,1,302.96,362.341,59.381,890.708,5435.11,890.708,0,1,0,3,1,1
7,matrix_teleport,6,7,7,1,362.341,386.86,24.519,367.783,5802.894,367.783,0,0,0,3,1,1
8,matrix_teleport,7,4,4,1,386.86,448.204,61.345,920.169,6723.063,920.169,0,1,1,3,1,2
9,matrix_teleport,4,8,8,1,448.204,526.416,78.212,1173.174,7896.236,1173.174,0,0,0,3,1,2
10,matrix_teleport,8,4,4,1,526.416,597.029,70.613,1059.195,8955.432,1059.195,0,0,0,4,1,2
11,matrix_teleport,4,1,1,1,597.029,677.108,80.079,1201.191,10156.62,1201.191,0,1,1,4,1,3
12,matrix_teleport,1,2,2,1,677.108,757.837,80.729,1210.937,11367.56,1210.936,0,1,0,3,2,3
13,matrix_teleport,2,5,5,1,757.837,821.063,63.226,948.393,12315.95,948.392,0,1,1,3,2,4
14,matrix_teleport,5,3,3,1,821.063,894.875,73.812,1107.175,13423.13,1107.174,0,1,0,3,3,4
15,matrix_teleport,3,1,1,1,894.875,953.147,58.272,874.073,14297.2,874.073,0,0,1,3,2,5
16,matrix_teleport,1,2,2,1,953.147,1033.876,80.729,1210.937,15508.14,1210.936,0,1,0,3,3,5
17,matrix_teleport,2,5,5,1,1033.876,1097.102,63.226,948.393,16456.53,948.392,0,1,0,2,4,5
18,matrix_teleport,5,8,8,1,1097.102,1150.745,53.644,804.652,17261.18,804.653,0,1,1,2,4,6
19,matrix_teleport,8,1,1,1,1150.745,1230.379,79.634,1194.51,18455.69,1194.51,0,1,0,1,5,6
20,matrix_teleport,1,3,3,1,1230.379,1248.76,18.381,275.717,18731.41,275.716,0,0,0,1,5,6
21,matrix_teleport,3,5,5,1,1248.76,1296.581,47.821,717.315,19448.72,717.314,0,0,0,2,5,6
22,matrix_teleport,5,1,1,1,1296.581,1352.093,55.511,832.67,20281.39,832.67,0,0,0,2,5,6
23,matrix_teleport,1,7,7,1,1352.093,1409.33,57.238,858.563,21139.96,858.563,0,1,2,1,4,8
24,matrix_teleport,7,1,1,1,1409.33,1428.745,19.415,291.227,21431.18,291.226,0,0,0,2,4,8
25,matrix_teleport,1,3,3,1,1428.745,1447.126,18.381,275.717,21706.9,275.716,0,0,0,2,4,8
26,matrix_teleport,3,1,1,1,1447.126,1505.398,58.271,874.072,22580.97,874.073,0,0,0,2,4,8
