passenger_id,origin_stop_id,destination_stop_id,request_time_seconds,status,pickup_time_seconds,dropoff_time_seconds,actual_pickup_stop_id,actual_dropoff_stop_id,wait_time_seconds,ride_time_seconds,total_service_time_seconds
1,4,1,0,Completed,448.204,677.108,4,1,448.204,228.904,677.108
2,8,3,65,Completed,151.481,302.96,8,3,86.481,151.48,237.96
3,2,7,150,Completed,757.837,1409.33,2,7,607.837,651.493,1259.33
4,6,4,240,Completed,362.341,448.204,6,4,122.341,85.863,208.204
5,1,5,330,Completed,677.108,821.063,1,5,347.108,143.955,491.063
6,7,2,425,Completed,1409.33,1995.001,7,2,984.33,585.671,1570.001
7,3,8,530,Completed,894.875,1150.745,3,8,364.875,255.87,620.745
8,5,1,650,Completed,821.063,953.147,5,1,171.063,132.083,303.147
9,8,6,765,Completed,1150.745,1583.16,8,6,385.745,432.414,818.16
10,2,4,890,Completed,1033.876,1783.566,2,4,143.876,749.69,893.566
11,5,7,1015,Completed,1097.102,1409.33,5,7,82.102,312.229,394.33
12,1,8,1145,Completed,1230.379,2432.952,1,8,85.379,1202.573,1287.952
13,6,2,1280,Completed,1583.16,1995.001,6,2,303.16,411.842,715.001
14,4,6,1420,Completed,1783.566,2390.886,4,6,363.566,607.32,970.886
15,7,3,1565,Completed,1844.23,2132.039,7,3,279.23,287.809,567.039
16,3,5,1710,Completed,2132.039,2257.613,3,5,422.039,125.574,547.613
17,2,8,1860,Completed,1995.001,2432.952,2,8,135.001,437.951,572.952
18,8,1,2015,Completed,2432.952,2512.586,8,1,417.952,79.634,497.586
19,5,3,2165,Completed,2257.613,2652.599,5,3,92.613,394.987,487.599
20,1,6,2310,Completed,2313.124,2390.886,1,6,3.124,77.762,80.886
21,6,7,2440,Completed,3186.773,3211.292,6,7,746.773,24.519,771.292
22,3,1,2560,Completed,2652.599,2710.871,3,1,92.599,58.271,150.871
23,7,4,2670,Completed,2889.822,2951.166,7,4,219.822,61.344,281.166
24,4,2,2760,Completed,2951.166,3311.436,4,2,191.166,360.27,551.436
25,8,5,2840,Completed,3029.378,3374.662,8,5,189.378,345.285,534.662
26,2,6,2900,Completed,3311.436,3957.05,2,6,411.436,645.614,1057.05
27,5,8,2945,Completed,3374.662,3672.485,5,8,429.662,297.823,727.485
28,1,3,2975,Completed,3109.012,3326.842,1,3,134.012,217.83,351.842
29,6,1,2990,Completed,3186.773,3230.707,6,1,196.773,43.934,240.707
30,3,7,3000,Completed,3326.842,3859.954,3,7,326.842,533.113,859.954
